#distancia    items
0	1136
1	45
2	75
3	95
4	67
5	106
6	169
7	277
8	553
9	913
10	1321
11	2379
12	3949
13	7856
14	12453
15	17611
16	22154
17	27998
18	37404
19	51547
20	68051
21	87260
22	109943
23	140363
24	177664
25	219697
26	266808
27	316721
28	368396
29	428728
30	496299
31	572147
32	655921
33	759704
34	872529
35	1000476
36	1140582
37	1299295
38	1505395
39	1783235
40	2162378
41	2675015
42	3341361
43	4204495
44	5291244
45	6545526
46	7775096
47	8657025
48	8806423
49	8063167
50	6550029
51	4678150
52	2904492
53	1524897
54	659706
55	225043
56	58605
57	12231
58	2849
59	669
60	311
