#distancia    items
0	348
1	47
2	22
3	37
4	39
5	146
6	409
7	831
8	1377
9	1587
10	1819
11	2477
12	3501
13	5372
14	6578
15	9123
16	12739
17	16764
18	21637
19	27357
20	34756
21	42464
22	50923
23	58752
24	66242
25	74326
26	85492
27	99204
28	112591
29	128177
30	144739
31	164558
32	186355
33	210110
34	234873
35	258815
36	286347
37	314630
38	345285
39	377153
40	412394
41	454172
42	499614
43	541042
44	575753
45	589737
46	571402
47	512445
48	410687
49	294453
50	187772
51	108051
52	57545
53	30866
54	18734
55	12725
56	8960
57	5201
58	1058
59	48
60	9
