#distancia	items
0	1066
1	24
2	18
3	10
4	14
5	10
6	34
7	78
8	158
9	236
10	486
11	614
12	788
13	1062
14	1480
15	2088
16	2464
17	3172
18	3914
19	4784
20	6196
21	7412
22	8666
23	10346
24	12560
25	14580
26	16098
27	17820
28	19242
29	21500
30	24124
31	26484
32	28984
33	33552
34	38194
35	43504
36	49832
37	56530
38	61190
39	65418
40	65906
41	64364
42	59282
43	55036
44	51280
45	46574
46	41552
47	33616
48	25898
49	17648
50	11124
51	5980
52	3014
53	1468
54	740
55	442
56	190
57	142
58	86
59	82
