#distancia    items
0	1190
1	36
2	61
3	73
4	143
5	357
6	526
7	630
8	1385
9	2651
10	4766
11	7863
12	13243
13	20243
14	29353
15	42460
16	59606
17	83380
18	110535
19	141789
20	177320
21	218707
22	266534
23	321348
24	388587
25	476361
26	574656
27	700683
28	839151
29	1002245
30	1165596
31	1337453
32	1497560
33	1676373
34	1910977
35	2184225
36	2521270
37	2904799
38	3341449
39	3824538
40	4410137
41	5149488
42	6088311
43	7228383
44	8461959
45	9524645
46	10112837
47	9851314
48	8621234
49	6682472
50	4560688
51	2715148
52	1385644
53	586652
54	204790
55	67887
56	26740
57	9241
58	2132
59	607
60	295
