#distancia    items
0	484
1	40
2	58
3	113
4	155
5	119
6	198
7	324
8	530
9	572
10	1050
11	2318
12	3635
13	5057
14	7247
15	9745
16	13541
17	17596
18	23825
19	28227
20	33505
21	40095
22	45120
23	48485
24	53859
25	58894
26	66928
27	77765
28	92273
29	108836
30	122227
31	137779
32	154038
33	174136
34	196179
35	220001
36	248013
37	282895
38	327869
39	391762
40	481406
41	596286
42	746560
43	924849
44	1142278
45	1358822
46	1520646
47	1549213
48	1425363
49	1164508
50	837093
51	521564
52	269011
53	111663
54	39111
55	15267
56	13149
57	10284
58	2741
59	374
60	283
