#distancia    items
0	10940
1	1249
2	2703
3	4318
4	4626
5	6766
6	12769
7	17330
8	25917
9	42160
10	64244
11	96325
12	139082
13	198547
14	277020
15	367185
16	478039
17	618034
18	790252
19	1014496
20	1323554
21	1696043
22	2124325
23	2614416
24	3204853
25	3831396
26	4558497
27	5429023
28	6401434
29	7459410
30	8525675
31	9587510
32	10745381
33	12029766
34	13518698
35	15258827
36	17294856
37	19767353
38	22792636
39	26699216
40	31667057
41	38065725
42	46125987
43	55680127
44	65718115
45	74404137
46	78901498
47	76798721
48	67528763
49	52987225
50	36749305
51	22305069
52	11653725
53	5204499
54	2025923
55	724793
56	257583
57	95508
58	45289
59	25075
60	17365
