#distancia    items
0	2705
1	171
2	101
3	114
4	184
5	423
6	656
7	953
8	1268
9	2033
10	3660
11	6369
12	10785
13	16718
14	22946
15	27951
16	35005
17	45161
18	60028
19	78275
20	94888
21	112423
22	130706
23	150550
24	174981
25	200226
26	223899
27	246142
28	273227
29	307938
30	347939
31	390403
32	433951
33	480397
34	531822
35	596095
36	676509
37	767812
38	882823
39	1022886
40	1202114
41	1442909
42	1770602
43	2200895
44	2706091
45	3181338
46	3459777
47	3400273
48	2963747
49	2280721
50	1540372
51	899305
52	453692
53	198790
54	87854
55	45236
56	23946
57	8290
58	3146
59	2869
60	3838
