#distancia    items
0	406
1	9
2	17
3	8
4	19
5	44
6	129
7	203
8	182
9	271
10	462
11	781
12	1088
13	2078
14	2934
15	3662
16	4959
17	6446
18	8328
19	11325
20	14791
21	17971
22	22178
23	29031
24	36468
25	44571
26	51480
27	60057
28	71285
29	84693
30	100111
31	113827
32	124214
33	139777
34	160340
35	188977
36	220999
37	255981
38	295984
39	344651
40	407443
41	487409
42	588012
43	716567
44	867035
45	1017977
46	1127478
47	1137051
48	1038755
49	846312
50	612718
51	387041
52	208434
53	93704
54	34889
55	10605
56	3041
57	1085
58	525
59	288
60	135
