#distancia    items
0	2284
1	136
2	428
3	1157
4	819
5	578
6	620
7	979
8	1506
9	2529
10	4178
11	6935
12	9684
13	14873
14	23356
15	33132
16	48652
17	72950
18	109049
19	152885
20	214997
21	302038
22	431726
23	616012
24	851360
25	1153662
26	1529264
27	2031179
28	2689767
29	3475719
30	4377749
31	5330101
32	6351308
33	7459994
34	8689159
35	10061520
36	11537147
37	13095837
38	14738268
39	16579473
40	18681302
41	21115190
42	23875713
43	26930631
44	29928299
45	32147472
46	32662487
47	30656026
48	26036567
49	19739783
50	13229902
51	7811940
52	3991391
53	1740496
54	639540
55	203121
56	81430
57	50796
58	22503
59	3684
60	217
