#distancia    items
0	2275
1	321
2	1383
3	2801
4	928
5	1720
6	3509
7	4967
8	9292
9	16825
10	28779
11	47473
12	74914
13	109092
14	153886
15	209748
16	283109
17	362768
18	460089
19	572979
20	694817
21	801820
22	917637
23	1067436
24	1247023
25	1444558
26	1668913
27	1942914
28	2266628
29	2622484
30	2993047
31	3395049
32	3876612
33	4462482
34	5140718
35	5884193
36	6684577
37	7589684
38	8780558
39	10413533
40	12737444
41	15926522
42	20168055
43	25217137
44	30434503
45	34656058
46	36717789
47	35654558
48	31323030
49	24577438
50	16907542
51	10004347
52	4997266
53	2121182
54	811431
55	322935
56	128859
57	43075
58	20918
59	20031
60	23928
