#distancia    items
0	996
1	78
2	59
3	115
4	212
5	374
6	428
7	911
8	1896
9	3226
10	5203
11	8258
12	11992
13	17377
14	25486
15	36951
16	54121
17	73115
18	97069
19	124375
20	154968
21	186444
22	224200
23	271600
24	328187
25	386124
26	441241
27	489605
28	543916
29	622780
30	721431
31	834291
32	958993
33	1090187
34	1218923
35	1338211
36	1472070
37	1631072
38	1837348
39	2115109
40	2489454
41	2994555
42	3666256
43	4521933
44	5491613
45	6418445
46	7011107
47	6959456
48	6144460
49	4809151
50	3304336
51	1970727
52	1001599
53	424227
54	155267
55	52198
56	21622
57	9460
58	1499
59	259
60	89
