#distancia    items
0	300
1	7
2	11
3	5
4	18
5	40
6	79
7	95
8	186
9	357
10	728
11	1370
12	1998
13	2848
14	4035
15	6157
16	9243
17	13252
18	17631
19	19642
20	21771
21	26548
22	33778
23	43248
24	50244
25	56352
26	65887
27	79354
28	95252
29	107927
30	122978
31	139303
32	159777
33	181311
34	205179
35	224683
36	243414
37	263046
38	291978
39	326459
40	376206
41	432718
42	502079
43	568599
44	631062
45	673866
46	673173
47	618839
48	508380
49	374009
50	246474
51	142218
52	72084
53	32092
54	13461
55	6445
56	3334
57	2135
58	1137
59	298
60	25
