#distancia    items
0	250
1	40
2	304
3	1100
4	608
5	125
6	206
7	569
8	697
9	920
10	1756
11	2594
12	3437
13	4465
14	6949
15	14716
16	16447
17	14123
18	16495
19	19147
20	22191
21	25238
22	30576
23	40430
24	47336
25	51266
26	53526
27	56359
28	59840
29	68193
30	83900
31	98026
32	115464
33	119515
34	120572
35	125956
36	128687
37	136839
38	145824
39	164432
40	186712
41	214398
42	253545
43	299291
44	338127
45	365321
46	381190
47	345995
48	288761
49	216778
50	148079
51	88824
52	49054
53	29248
54	19337
55	11216
56	4932
57	3170
58	1333
59	209
60	87
