#distancia    items
0	1369
1	3
2	6
3	25
4	39
5	158
6	327
7	806
8	1980
9	3671
10	6664
11	11209
12	19061
13	32414
14	54446
15	89836
16	141619
17	215116
18	306623
19	422811
20	575340
21	771658
22	1006858
23	1287828
24	1623990
25	1995745
26	2399837
27	2829511
28	3293018
29	3792275
30	4331118
31	4896510
32	5469707
33	6071838
34	6687019
35	7288372
36	7864170
37	8460954
38	9131064
39	9844838
40	10515545
41	11021659
42	11307038
43	11352549
44	11145787
45	10551069
46	9393559
47	7599654
48	5432890
49	3377819
50	1830596
51	876205
52	376645
53	148746
54	57499
55	20612
56	5271
57	1081
58	345
59	124
60	46
