#distancia    items
0	648
1	30
2	13
3	27
4	39
5	105
6	188
7	382
8	755
9	1185
10	1801
11	2600
12	4060
13	5898
14	7802
15	11177
16	16252
17	23093
18	32237
19	43147
20	55057
21	67949
22	83978
23	104767
24	128745
25	152953
26	178841
27	208021
28	239370
29	270553
30	301574
31	335267
32	374252
33	415930
34	468045
35	534838
36	621982
37	725772
38	846597
39	986267
40	1157345
41	1372222
42	1663403
43	2032669
44	2479245
45	2920418
46	3203095
47	3159056
48	2732932
49	2046720
50	1328400
51	746238
52	363049
53	160126
54	65613
55	23136
56	6777
57	2204
58	1163
59	724
60	524
