#distancia    items
0	1216
1	467
2	882
3	799
4	1114
5	2164
6	3872
7	4900
8	6184
9	7649
10	9482
11	14476
12	23273
13	32617
14	37584
15	41850
16	48895
17	61633
18	75489
19	87385
20	98446
21	113874
22	132201
23	153088
24	179561
25	212817
26	244088
27	279501
28	315063
29	352913
30	390757
31	429317
32	471769
33	522052
34	582730
35	655703
36	747994
37	853900
38	981810
39	1143304
40	1348892
41	1612102
42	1975216
43	2501934
44	3232657
45	4187887
46	5216392
47	6021031
48	6259493
49	5791695
50	4759986
51	3447574
52	2138669
53	1101302
54	490686
55	207999
56	81185
57	21215
58	4167
59	1530
60	641
